SISTEMA,ZONA DE CARGA,CLAVE
SIN,MONTERREY,06PGE-400
SIN,MONTERREY,06PIE-115
SIN,MONTERREY,06PIK-115
SIN,MONTERREY,06PLE-115
SIN,MONTERREY,06PMA-115
SIN,MONTERREY,06PQA-115
SIN,MONTERREY,06PQT-115
SIN,MONTERREY,06PRY-115
SIN,MONTERREY,06PTS-115
SIN,MONTERREY,06PZA-115
SIN,MONTERREY,06RDP-115
SIN,MONTERREY,06RIE-115
SIN,MONTERREY,06RIO-115
SIN,MONTERREY,06ROQ-115
SIN,MONTERREY,06SAH-115
SIN,MONTERREY,06SLL-115
SIN,MONTERREY,06SMA-115
SIN,MONTERREY,06SRD-115
SIN,MONTERREY,06STZ-115
SIN,MONTERREY,06TEC-115
SIN,MONTERREY,06THB-115
SIN,MONTERREY,06THO-115
SIN,MONTERREY,06TIB-115
SIN,MONTERREY,06TII-115
SIN,MONTERREY,06TPQ-115
SIN,MONTERREY,06TRQ-400
SIN,MONTERREY,06UCA-230
SIN,MONTERREY,06UNI-115
SIN,MONTERREY,06VAP-115
SIN,MONTERREY,06VDG-230
SIN,MONTERREY,06VJD-115
SIN,MONTERREY,06VKM-230
SIN,MONTERREY,06VLL-115
SIN,MONTERREY,06VOT-115
SIN,MONTERREY,06VRO-115
SIN,MONTERREY,06VSA-115
SIN,MONTERREY,06VSL-115
SIN,NUEVO LAREDO,06ADC-138
SIN,NUEVO LAREDO,06CAM-138
SIN,NUEVO LAREDO,06CID-138
SIN,NUEVO LAREDO,06CPR-138
SIN,NUEVO LAREDO,06FAM-138
SIN,NUEVO LAREDO,06LAO-138
SIN,NUEVO LAREDO,06MIG-138
SIN,NUEVO LAREDO,06MME-138
SIN,NUEVO LAREDO,06NUL-138
SIN,NUEVO LAREDO,06OJC-138
SIN,NUEVO LAREDO,06PIO-138
SIN,PIEDRAS NEGRAS,06ACD-138
SIN,PIEDRAS NEGRAS,06AMI-138
SIN,PIEDRAS NEGRAS,06AUA-138
SIN,PIEDRAS NEGRAS,06CBD-400
SIN,PIEDRAS NEGRAS,06CRO-138
SIN,PIEDRAS NEGRAS,06FTE-138
SIN,PIEDRAS NEGRAS,06MDS-138
SIN,PIEDRAS NEGRAS,06NAV-138
SIN,PIEDRAS NEGRAS,06NVS-230
SIN,PIEDRAS NEGRAS,06PIU-138
SIN,PIEDRAS NEGRAS,06PNE-138
SIN,PIEDRAS NEGRAS,06PUI-138
SIN,PIEDRAS NEGRAS,06REC-230
SIN,PIEDRAS NEGRAS,06REC-400
SIN,REYNOSA,06AER-138
SIN,REYNOSA,06AER-230
SIN,REYNOSA,06AER-400
SIN,REYNOSA,06ANZ-138
SIN,REYNOSA,06ATP-230
SIN,REYNOSA,06ATP-400
SIN,REYNOSA,06AZN-138
SIN,REYNOSA,06BAD-138
SIN,REYNOSA,06CRB-138
SIN,REYNOSA,06CUF-230
SIN,REYNOSA,06DNS-138
SIN,REYNOSA,06INO-138
SIN,REYNOSA,06JRA-138
SIN,REYNOSA,06JUZ-138
SIN,REYNOSA,06LVI-138
SIN,REYNOSA,06NRE-138
SIN,REYNOSA,06ORZ-138
SIN,REYNOSA,06PAI-138
SIN,REYNOSA,06PER-138
SIN,REYNOSA,06PIC-138
SIN,REYNOSA,06POG-138
SIN,REYNOSA,06RBP-138
SIN,REYNOSA,06REY-138
SIN,REYNOSA,06RIB-138
SIN,REYNOSA,06RIB-230
SIN,REYNOSA,06RYC-138
SIN,REYNOSA,06VLF-138
SIN,SABINAS,06MIE-115
SIN,SABINAS,06NUR-115
SIN,SABINAS,06NUR-230
SIN,SALTILLO,06AGN-115
SIN,SALTILLO,06ALM-115
SIN,SALTILLO,06ALP-115
SIN,SALTILLO,06APC-230
SIN,SALTILLO,06BRI-115
SIN,SALTILLO,06CAP-115
SIN,SALTILLO,06CED-230
SIN,SALTILLO,06CIB-115
SIN,SALTILLO,06CYC-115
SIN,SALTILLO,06FIS-115
SIN,SALTILLO,06GAM-115
SIN,SALTILLO,06GMO-115
SIN,SALTILLO,06ISR-115
SIN,SALTILLO,06LLN-115
SIN,SALTILLO,06MAB-115
SIN,SALTILLO,06MEH-230
SIN,SALTILLO,06MEO-230
SIN,SALTILLO,06MRL-115
SIN,SALTILLO,06MSC-115
SIN,SALTILLO,06NVD-115
SIN,SALTILLO,06PIA-115
SIN,SALTILLO,06PRV-115
SIN,SALTILLO,06PSM-115
SIN,SALTILLO,06RAP-115
SIN,SALTILLO,06RAP-400
SIN,SALTILLO,06ROB-115
SIN,SALTILLO,06RRA-115
SIN,SALTILLO,06SAL-115
SIN,SALTILLO,06SCP-400
SIN,SALTILLO,06SRP-230
SIN,SALTILLO,06ZPL-115
SIN,TAMPICO,06AAT-115
SIN,TAMPICO,06ALT-115
SIN,TAMPICO,06ALT-230
SIN,TAMPICO,06ALT-400
SIN,TAMPICO,06ANP-115
SIN,TAMPICO,06CHR-115
SIN,TAMPICO,06DUT-115
SIN,TAMPICO,06ETK-115
SIN,TAMPICO,06FME-115
SIN,TAMPICO,06GPT-115
SIN,TAMPICO,06INF-115
SIN,TAMPICO,06KAF-115
SIN,TAMPICO,06LDC-115
SIN,TAMPICO,06LDV-115
SIN,TAMPICO,06LLC-400
SIN,TAMPICO,06MES-400
SIN,TAMPICO,06MIA-230
SIN,TAMPICO,06MMD-230
SIN,TAMPICO,06NRJ-115
SIN,TAMPICO,06OZL-115
SIN,TAMPICO,06PAE-400
SIN,TAMPICO,06PCO-115
SIN,TAMPICO,06PLC-115
SIN,TAMPICO,06POL-115
SIN,TAMPICO,06PUO-115
SIN,TAMPICO,06RMA-115
SIN,TAMPICO,06TAM-115
SIN,TAMPICO,06TCL-115
SIN,TAMPICO,06TEG-400
SIN,TAMPICO,06TEP-400
SIN,TAMPICO,06TMO-115
SIN,TAMPICO,06TMS-400
SIN,TAMPICO,06TPC-115
SIN,TAMPICO,06TXE-115
SIN,TAMPICO,06UNT-115
SIN,VICTORIA,06BET-115
SIN,VICTORIA,06BIC-115
SIN,VICTORIA,06ESR-115
SIN,VICTORIA,06GUE-115
SIN,VICTORIA,06LBT-115
SIN,VICTORIA,06NST-115
SIN,VICTORIA,06OVO-115
SIN,VICTORIA,06TNA-115
SIN,VICTORIA,06VRA-115
SIN,CABORCA,04AGS-115
SIN,CABORCA,04ALT-115
SIN,CABORCA,04ANT-115
SIN,CABORCA,04ASE-115
SIN,CABORCA,04BZI-115
SIN,CABORCA,04CBA-115
SIN,CABORCA,04CCA-115
SIN,CABORCA,04DSE-115
SIN,CABORCA,04ICA-115
SIN,CABORCA,04LCH-115
SIN,CABORCA,04LLB-115
SIN,CABORCA,04LPN-115
SIN,CABORCA,04MFN-115
SIN,CABORCA,04ORI-115
SIN,CABORCA,04PLD-230
SIN,CABORCA,04PPA-115
SIN,CABORCA,04PYE-115
SIN,CABORCA,04SHO-115
SIN,CABORCA,04SNY-115
SIN,CABORCA,04SSA-115
SIN,CABORCA,04SVV-115
SIN,CULIACAN,04BCH-115
SIN,CULIACAN,04CCC-115
SIN,CULIACAN,04CLI-115
SIN,CULIACAN,04CMI-115
SIN,CULIACAN,04CMR-115
SIN,CULIACAN,04CSA-115
SIN,CULIACAN,04CUC-115
SIN,CULIACAN,04CUD-115
SIN,CULIACAN,04CUI-115
SIN,CULIACAN,04CUN-115
SIN,CULIACAN,04CUO-115
SIN,CULIACAN,04CUS-115
SIN,CULIACAN,04CUT-115
SIN,CULIACAN,04CUU-115
SIN,CULIACAN,04EDR-115
SIN,CULIACAN,04HYA-115
SIN,CULIACAN,04ISM-115
SIN,CULIACAN,04JSP-115
SIN,CULIACAN,04NTO-115
